专家,打分,标准
评审专家2,62,46.60
评审专家21,58,52.10
评审专家17,65,42.08
评审专家38,75,66.85
评审专家3,75,60.92
评审专家29,69,57.25
评审专家9,57,50.25
评审专家12,60,48.98
评审专家12,68,57.05
评审专家37,57,45.90
评审专家11,65,48.38
评审专家20,55,45.99
评审专家35,63,45.66
评审专家5,68,49.94
评审专家28,66,49.42
评审专家42,74,60.90
评审专家42,46,37.08
评审专家41,80,71.32
评审专家34,65,51.32
评审专家19,65,47.50
评审专家41,63,45.98
评审专家21,51,38.72
评审专家33,62,43.30
评审专家26,65,60.51
评审专家2,56,36.09
评审专家43,57,43.01
评审专家14,50,39.94
评审专家14,58,49.47
评审专家36,65,46.06
评审专家22,55,40.09
评审专家3,68,49.34
评审专家26,50,38.03
评审专家14,54,44.71
评审专家17,67,44.83
评审专家2,56,36.09
评审专家11,70,55.29
评审专家41,66,50.45
评审专家30,50,40.50
评审专家26,62,56.02
评审专家37,56,44.64
评审专家9,52,45.51
评审专家21,58,52.10
评审专家43,72,62.23
评审专家26,55,45.52
评审专家8,63,47.27
评审专家9,76,56.00
评审专家9,40,34.12
评审专家40,63,44.89
评审专家10,50,38.76
评审专家21,57,50.19
评审专家26,60,53.02
评审专家19,71,57.46
评审专家21,54,44.45
评审专家38,68,58.53
评审专家26,58,50.02
评审专家43,56,41.72
评审专家12,80,59.17
评审专家42,75,40.00
评审专家8,76,63.19
评审专家31,78,61.67
评审专家16,62,46.33
评审专家19,66,49.16
评审专家15,72,59.10
评审专家14,52,42.32
评审专家41,71,57.91
评审专家5,64,45.51
评审专家21,60,55.93
评审专家10,60,50.69
评审专家45,69,62.47
评审专家43,63,50.70
评审专家28,73,60.01
评审专家25,61,50.39
评审专家23,81,68.31
评审专家7,68,52.44
评审专家8,68,53.39
评审专家38,55,43.08
评审专家2,68,57.11
评审专家32,70,56.76
评审专家2,63,48.35
评审专家4,65,48.74
评审专家43,58,44.29
评审专家45,47,37.40
评审专家41,62,44.49
评审专家32,60,43.28
评审专家3,78,65.88
评审专家11,60,60.00
评审专家40,63,44.89
评审专家36,65,46.06
评审专家20,67,56.73
评审专家34,58,41.22
评审专家45,49,39.68
评审专家12,62,51.00
评审专家32,78,67.54
评审专家45,70,63.61
评审专家32,60,43.28
评审专家4,63,45.42
评审专家4,75,65.35
评审专家5,59,39.98
评审专家8,65,49.72
评审专家22,60,43.80
评审专家17,73,53.09
评审专家26,64,59.02
评审专家28,67,50.93
评审专家13,68,56.27
评审专家26,62,56.02
评审专家38,80,72.79
评审专家22,89,65.32
评审专家14,43,31.60
评审专家15,69,55.29
评审专家9,51,44.56
评审专家23,63,47.80
评审专家26,59,51.52
评审专家27,61,47.05
评审专家40,71,54.97
评审专家8,72,58.29
评审专家12,68,57.05
评审专家10,60,50.69
评审专家38,57,45.45
评审专家12,62,51.00
评审专家41,65,48.96
评审专家26,65,60.51
评审专家13,65,52.69
评审专家18,60,46.64
评审专家45,55,46.52
评审专家38,69,59.71
评审专家29,57,43.15
评审专家14,53,43.51
评审专家1,64,44.56
评审专家28,56,34.29
评审专家25,59,48.12
评审专家17,71,50.33
评审专家18,65,52.30
评审专家44,66,48.27
评审专家42,55,44.74
评审专家41,61,43.00
评审专家38,55,43.08
评审专家41,60,41.51
评审专家36,75,64.84
评审专家1,76,59.49
评审专家9,80,58.00
评审专家8,75,61.97
评审专家26,70,68.01
评审专家41,65,48.96
评审专家45,63,55.63
评审专家21,57,50.19
评审专家13,62,49.12
评审专家43,57,43.01
评审专家40,66,48.67
评审专家23,66,51.22
评审专家21,65,65.49
评审专家2,65,51.85
评审专家41,69,54.92
评审专家28,62,43.36
评审专家10,50,38.76
评审专家3,71,54.30
评审专家44,65,46.19
评审专家4,58,37.11
评审专家7,73,59.82
评审专家23,64,48.94
评审专家43,58,44.29
评审专家37,60,49.71
评审专家32,60,43.28
评审专家34,66,52.76
评审专家7,65,48.01
评审专家18,55,40.98
评审专家30,52,43.81
评审专家1,70,52.03
评审专家13,55,40.78
评审专家1,63,43.32
评审专家13,50,34.83
评审专家32,76,64.85
评审专家26,63,57.52
评审专家21,54,44.45
评审专家21,56,48.28
评审专家10,60,50.69
评审专家18,47,31.92
评审专家13,70,52.00
评审专家3,66,46.03
评审专家28,64,46.39
评审专家44,65,46.19
评审专家26,56,47.02
评审专家32,53,33.84
评审专家19,62,42.51
评审专家45,56,47.65
评审专家3,63,41.07
评审专家27,67,56.59
评审专家11,65,48.38
评审专家25,60,49.25
评审专家33,71,57.33
评审专家30,53,45.47
评审专家12,66,55.03
评审专家30,64,63.72
评审专家3,68,49.34
评审专家34,68,55.64
评审专家26,58,50.02
评审专家25,52,40.17
评审专家13,65,52.69
评审专家2,55,34.33
评审专家16,65,49.58
评审专家23,65,50.08
评审专家29,64,51.38
评审专家32,70,56.76
评审专家1,70,52.03
评审专家38,60,49.02
评审专家21,55,46.37
评审专家21,55,46.37
评审专家40,62,43.62
评审专家38,55,43.08
评审专家34,60,44.11
评审专家37,52,39.56
评审专家37,52,39.56
评审专家24,65,47.37
评审专家25,58,46.98
评审专家38,50,37.13
评审专家41,58,38.53
评审专家6,60,47.63
评审专家33,73,60.45
评审专家1,67,48.29
评审专家29,59,45.50
评审专家8,75,61.97
评审专家19,66,49.16
评审专家34,68,55.64
评审专家31,85,65.43
评审专家15,68,54.02
评审专家32,63,47.32
评审专家44,72,60.78
评审专家33,67,51.09
评审专家28,57,35.80
评审专家36,65,46.06
评审专家11,62,44.24
评审专家24,70,53.30
评审专家1,60,39.59
评审专家35,55,31.29
评审专家17,67,44.83
评审专家28,63,44.88
评审专家12,50,38.88
评审专家28,70,55.47
评审专家9,59,52.14
评审专家32,83,60.00
评审专家5,72,54.36
评审专家10,45,45.00
评审专家28,68,52.44
评审专家14,44,40.00
评审专家26,50,38.03
评审专家21,57,50.19
评审专家45,60,52.21
评审专家43,61,48.13
评审专家3,72,55.96
评审专家2,65,51.85
评审专家28,65,47.90
评审专家6,66,57.88
评审专家16,66,50.66
评审专家31,62,46.22
评审专家24,75,59.23
评审专家36,70,55.45
评审专家5,54,34.45
评审专家18,70,57.96
评审专家17,81,64.09
评审专家43,66,54.54
评审专家43,58,44.29
评审专家6,55,39.09
评审专家39,78,62.47
评审专家14,66,59.01
评审专家18,72,60.22
评审专家40,63,44.89
评审专家41,77,66.85
评审专家11,70,55.29
评审专家31,55,39.46
评审专家25,50,37.90
评审专家29,50,55.00
评审专家37,61,50.98
评审专家40,64,46.15
评审专家30,54,47.13
评审专家10,65,56.66
评审专家45,52,43.10
评审专家22,76,55.67
评审专家37,59,48.44
评审专家36,65,46.06
评审专家35,60,40.27
评审专家14,53,43.51
评审专家19,69,54.14
评审专家41,66,50.45
评审专家37,68,59.86
评审专家27,66,55.00
评审专家21,55,46.37
评审专家37,64,54.78
评审专家21,53,42.54
评审专家17,77,58.59
评审专家16,60,44.17
评审专家31,56,40.43
评审专家38,51,38.32
评审专家44,66,48.27
评审专家37,81,76.34
评审专家25,63,52.66
评审专家19,66,49.16
评审专家7,65,48.01
评审专家38,60,49.02
评审专家4,72,60.37
评审专家45,57,48.79
评审专家15,64,48.95
评审专家19,62,42.51
评审专家28,64,46.39
评审专家30,57,52.11
评审专家11,72,58.05
评审专家44,65,46.19
评审专家37,54,42.10
评审专家42,67,54.95
评审专家17,75,55.84
评审专家13,60,46.74
评审专家19,59,37.53
评审专家16,70,55.00
评审专家17,66,43.45
评审专家25,58,46.98
评审专家32,58,40.58
评审专家19,64,45.83
评审专家25,50,37.90
评审专家38,63,52.58
评审专家1,78,61.98
评审专家6,65,56.17
评审专家23,59,43.24
评审专家41,72,59.40
评审专家35,65,49.26
评审专家3,69,50.99
评审专家31,54,38.50
评审专家24,68,50.93
评审专家43,84,77.61
评审专家25,75,66.29
评审专家32,62,45.98
评审专家13,56,41.97
评审专家11,63,45.62
评审专家23,54,37.55
评审专家38,65,54.96
评审专家36,70,55.45
评审专家16,83,69.07
评审专家34,63,48.43
评审专家32,70,56.76
评审专家22,58,42.31
评审专家31,67,51.05
评审专家43,58,44.29
评审专家18,52,37.58
评审专家7,58,37.68
评审专家9,56,49.30
评审专家37,55,43.37
评审专家19,71,57.46
评审专家14,59,50.66
评审专家42,59,48.14
评审专家36,80,60.23
评审专家4,62,43.76
评审专家37,61,50.98
评审专家7,60,40.63
评审专家18,70,57.96
评审专家20,50,41.52
评审专家44,69,54.53
评审专家5,65,46.62
评审专家1,62,42.07
评审专家33,64,46.41
评审专家38,58,46.64
评审专家3,70,52.65
评审专家27,70,61.35
评审专家9,56,49.30
评审专家14,59,50.66
评审专家38,67,57.34
评审专家44,71,58.70
评审专家10,60,50.69
评审专家16,65,49.58
评审专家29,71,50.00
评审专家11,70,55.29
评审专家27,61,47.05
评审专家27,61,47.05
评审专家41,57,37.04
评审专家15,72,59.10
评审专家20,43,35.25
评审专家4,67,52.06
评审专家5,80,63.21
评审专家38,61,50.21
评审专家29,54,39.62
评审专家3,66,46.03
评审专家19,67,50.82
评审专家18,62,48.90
评审专家1,53,30.88
评审专家40,70,53.71
评审专家25,52,40.17
评审专家33,72,58.89
评审专家2,67,55.36
评审专家37,58,47.17
评审专家35,58,36.68
评审专家20,65,54.94
评审专家35,67,52.85
评审专家19,61,40.85
评审专家43,62,49.41
评审专家5,66,47.72
评审专家38,67,57.34
评审专家31,88,65.32
评审专家32,85,76.98
评审专家6,68,61.30
评审专家13,58,44.36
评审专家18,58,44.37
评审专家43,64,51.98
评审专家17,72,51.71
评审专家21,57,50.19
评审专家22,57,41.57
评审专家17,78,59.97
评审专家21,55,46.37
评审专家34,66,52.76
评审专家13,63,50.31
评审专家18,55,40.98
评审专家21,70,75.05
评审专家16,66,50.66
评审专家29,50,34.92
评审专家28,58,37.31
评审专家16,61,45.25
评审专家4,72,60.37
评审专家38,61,50.21
评审专家3,76,62.57
评审专家19,72,59.13
评审专家38,60,49.02
评审专家40,68,51.19
评审专家34,65,51.32
评审专家13,68,56.27
评审专家9,57,50.25
评审专家18,60,46.64
评审专家15,73,60.37
评审专家33,66,49.53
评审专家38,70,60.90
评审专家43,64,51.98
评审专家32,87,79.67
评审专家35,58,48.00
评审专家44,67,50.36
评审专家26,53,42.53
评审专家3,66,46.03
评审专家3,63,41.07
评审专家3,74,59.27
评审专家11,68,52.53
评审专家17,77,58.59
评审专家45,60,52.21
评审专家19,73,60.79
评审专家37,66,57.32
评审专家11,60,41.48
评审专家23,75,61.48
评审专家36,63,42.30
评审专家31,63,47.19
评审专家6,68,61.30
评审专家38,63,52.58
评审专家31,89,72.29
评审专家36,70,55.45
评审专家9,57,50.25
评审专家16,76,61.49
评审专家21,56,48.28
评审专家38,66,56.15
评审专家21,56,48.28
评审专家21,52,40.63
评审专家43,62,49.41
评审专家43,78,69.92
评审专家5,52,32.23
评审专家32,57,39.24
评审专家21,60,55.93
评审专家7,80,70.15
评审专家1,74,57.00
评审专家38,56,44.26
评审专家7,75,62.77
评审专家38,64,53.77
评审专家5,73,55.47
评审专家38,63,52.58
评审专家28,58,37.31
评审专家18,58,44.37
评审专家3,64,42.72
评审专家30,52,43.81
评审专家15,60,43.87
评审专家8,70,65.84
评审专家29,62,49.03
评审专家28,70,55.47
评审专家30,57,52.11
评审专家32,68,54.06
评审专家40,61,42.36
评审专家5,72,54.36
评审专家6,64,54.47
评审专家38,52,39.51
评审专家33,59,38.62
评审专家20,60,50.47
评审专家5,57,37.77
评审专家12,62,51.00
评审专家42,43,34.53
评审专家6,58,44.22
评审专家21,52,60.00
评审专家30,47,35.52
评审专家34,68,55.64
评审专家44,64,44.10
评审专家42,50,40.48
评审专家33,74,62.00
评审专家20,55,45.99
评审专家23,75,61.48
评审专家4,65,48.74
评审专家20,80,68.37
评审专家25,55,43.58
评审专家15,51,32.46
评审专家18,62,48.90
评审专家38,51,38.32
评审专家2,66,53.61
评审专家6,60,47.63
评审专家30,55,48.79
评审专家36,60,50.67
评审专家32,67,52.71
评审专家31,66,50.08
评审专家11,72,58.05
评审专家11,75,62.20
评审专家17,79,61.34
评审专家3,62,39.41
评审专家20,55,45.99
评审专家25,50,37.90
评审专家12,68,57.05
评审专家16,74,59.33
评审专家2,55,34.33
评审专家21,50,36.80
评审专家29,67,50.00
评审专家35,57,48.00
评审专家9,59,52.14
评审专家17,60,35.20
评审专家17,60,35.20
评审专家30,51,42.16
评审专家6,65,56.17
评审专家1,69,50.78
评审专家45,60,52.21
评审专家1,77,60.74
评审专家24,57,37.89
评审专家23,66,51.22
评审专家45,61,53.35
评审专家18,58,44.37
评审专家41,63,45.98
评审专家35,64,47.46
评审专家1,70,52.03
评审专家4,62,43.76
评审专家30,57,52.11
评审专家12,80,59.17
评审专家22,60,43.80
评审专家45,49,50.00
评审专家8,52,33.80
评审专家41,51,38.00
评审专家40,64,46.15
评审专家21,62,59.75
评审专家12,72,61.09
评审专家30,56,50.45
评审专家16,74,59.33
评审专家43,55,40.44
评审专家40,67,49.93
评审专家28,76,53.54
评审专家4,63,45.42
评审专家28,66,49.42
评审专家18,72,60.22
评审专家23,52,35.27
评审专家4,65,48.74
评审专家24,64,46.19
评审专家1,73,55.76
评审专家44,68,52.44
评审专家44,66,48.27
评审专家11,70,55.29
评审专家33,66,49.53
评审专家12,80,69.17
评审专家19,67,50.82
评审专家45,58,49.93
评审专家29,71,59.60
评审专家37,64,54.78
评审专家25,64,53.80
评审专家15,61,45.14
评审专家15,54,36.26
评审专家4,66,50.40
评审专家31,53,37.53
评审专家8,68,53.39
评审专家20,80,68.37
评审专家29,65,52.55
评审专家30,55,48.79
评审专家8,73,59.52
评审专家37,61,50.98
评审专家21,58,52.10
评审专家8,55,37.47
评审专家38,67,57.34
评审专家38,50,37.13
评审专家27,59,43.87
评审专家16,66,50.66
评审专家6,70,64.71
评审专家23,72,58.06
评审专家21,59,54.02
评审专家21,52,40.63
评审专家20,50,41.52
评审专家18,75,63.62
评审专家32,53,33.84
评审专家29,53,38.45
评审专家31,70,53.95
评审专家45,43,32.84
评审专家2,63,48.35
评审专家5,50,30.02
评审专家16,59,43.09
评审专家23,79,66.03
评审专家1,64,44.56
评审专家25,67,57.20
评审专家11,67,51.15
评审专家21,54,44.45
评审专家45,67,50.00
评审专家36,75,64.84
评审专家6,60,47.63
评审专家27,65,53.41
评审专家23,73,59.20
评审专家8,56,38.70
评审专家21,70,75.05
评审专家14,64,56.62
评审专家12,55,43.93
评审专家8,62,46.04
评审专家2,62,46.60
评审专家38,59,47.83
评审专家36,75,64.84
评审专家2,62,46.60
评审专家27,66,55.00
评审专家27,60,45.46
评审专家37,60,49.71
评审专家8,60,43.60
评审专家42,58,47.29
评审专家18,70,57.96
评审专家30,62,60.40
评审专家40,62,43.62
评审专家38,53,40.70
评审专家18,48,33.05
评审专家3,77,64.23
评审专家38,63,52.58
评审专家29,50,34.92
评审专家19,55,30.88
评审专家10,55,44.73
评审专家35,74,65.43
评审专家36,75,64.84
评审专家38,64,53.77
评审专家23,74,60.34
评审专家14,45,33.98
评审专家11,55,55.00
评审专家38,45,31.19
评审专家40,78,63.80
评审专家38,64,53.77
评审专家23,51,34.13
评审专家8,53,35.02
评审专家16,65,49.58
评审专家34,64,49.88
评审专家9,49,42.66
评审专家40,55,34.80
评审专家22,71,51.96
评审专家7,76,64.25
评审专家27,67,56.59
评审专家7,70,55.39
评审专家11,80,69.10
评审专家5,55,50.00
评审专家16,48,31.17
评审专家16,77,52.58
评审专家25,69,59.48
评审专家20,55,45.99
评审专家36,75,64.84
评审专家19,72,59.13
评审专家42,73,60.05
评审专家27,61,47.05
评审专家15,56,38.80
评审专家20,85,72.84
评审专家17,72,51.71
评审专家20,70,59.42
评审专家2,59,41.34
评审专家13,60,46.74
评审专家16,70,55.00
评审专家15,78,66.71
评审专家33,74,62.00
评审专家20,53,44.20
评审专家8,50,31.35
评审专家36,70,55.45
评审专家27,55,37.51
评审专家34,62,46.99
评审专家42,68,55.80
评审专家13,78,60.00
评审专家7,64,46.53
评审专家34,76,67.18
评审专家41,70,56.42
评审专家6,62,51.05
评审专家12,70,59.07
评审专家26,62,56.02
评审专家38,60,49.02
评审专家1,63,43.32
评审专家9,46,39.82
评审专家26,55,45.52
评审专家2,72,64.12
评审专家19,68,52.48
评审专家43,58,44.29
评审专家35,62,43.87
评审专家37,53,40.83
评审专家32,63,47.32
评审专家3,64,42.72
评审专家27,66,55.00
评审专家6,52,33.97
评审专家2,67,55.36
评审专家8,78,55.64
评审专家17,82,65.47
评审专家24,76,60.42
评审专家40,77,62.54
评审专家18,76,64.75
评审专家12,65,54.03
评审专家37,62,52.25
评审专家5,73,55.47
评审专家37,66,57.32
评审专家34,62,46.99
评审专家38,68,58.53
评审专家34,55,36.90
评审专家26,59,51.52
评审专家12,45,33.83
评审专家21,60,55.93
评审专家23,68,53.50
评审专家16,68,52.83
评审专家23,76,62.62
评审专家22,52,37.86
评审专家21,54,44.45
评审专家21,54,44.45
评审专家29,56,41.97
评审专家16,84,70.16
评审专家18,73,61.35
评审专家40,70,53.71
评审专家43,57,43.01
评审专家40,58,38.58
评审专家32,54,35.19
评审专家19,62,50.51
评审专家10,55,44.73
评审专家23,71,56.92
评审专家26,72,71.01
评审专家18,70,57.96
评审专家21,50,36.80
评审专家34,68,55.64
评审专家7,58,37.68
评审专家16,69,53.91
评审专家3,75,55.00
评审专家40,78,63.80
评审专家16,69,53.91
评审专家35,69,56.44
评审专家6,65,56.17
评审专家11,70,55.29
评审专家14,67,60.20
评审专家12,65,54.03
评审专家40,62,43.62
评审专家18,82,70.00
评审专家37,55,43.37
评审专家41,65,48.96
评审专家9,52,45.51
评审专家41,58,38.53
评审专家5,76,58.79
评审专家23,52,35.27
评审专家8,68,53.39
评审专家12,62,51.00
评审专家28,81,72.11
评审专家10,60,50.69
评审专家10,60,50.69
评审专家40,73,57.49
评审专家44,64,44.10
评审专家28,64,46.39
评审专家11,60,41.48
评审专家31,75,58.77
评审专家27,54,35.92
评审专家26,74,74.01
评审专家26,63,57.52
评审专家45,50,55.00
评审专家32,64,48.67
评审专家14,56,64.00
评审专家15,61,45.14
评审专家40,65,47.41
评审专家10,65,56.66
评审专家7,68,52.44
评审专家34,75,65.74
评审专家36,65,46.06
评审专家38,66,56.15
评审专家12,60,48.98
评审专家36,60,36.67
评审专家12,52,40.90
评审专家9,59,52.14
评审专家1,68,49.54
评审专家7,70,55.39
评审专家26,66,62.01
评审专家21,65,65.49
评审专家27,70,61.35
评审专家17,74,54.46
评审专家26,50,38.03
评审专家17,75,55.84
评审专家12,66,55.03
评审专家9,86,60.00
评审专家45,56,47.65
评审专家22,51,37.12
评审专家41,66,50.45
评审专家37,57,45.90
评审专家43,63,50.70
评审专家25,50,37.90
评审专家3,75,60.92
评审专家11,65,48.38
评审专家23,50,32.99
评审专家14,69,62.58
评审专家26,58,50.02
评审专家15,57,40.07
评审专家26,53,42.53
评审专家43,55,40.44
评审专家35,70,58.24
评审专家34,69,57.09
评审专家28,58,37.31
评审专家23,54,37.55
评审专家8,73,59.52
评审专家17,68,46.21
评审专家27,65,53.41
评审专家17,59,33.82
评审专家8,70,55.84
评审专家4,78,70.34
评审专家9,79,71.11
评审专家22,42,30.44
评审专家28,74,61.52
评审专家40,74,58.75
评审专家38,50,37.13
评审专家5,58,38.87
评审专家19,54,29.22
评审专家12,70,59.07
评审专家15,66,51.49
评审专家4,62,43.76
评审专家35,68,54.65
评审专家40,61,42.36
评审专家13,64,51.50
评审专家36,60,36.67
评审专家6,64,54.47
评审专家5,77,59.89
评审专家30,56,50.45
评审专家40,81,67.58
评审专家4,58,37.11
评审专家42,74,50.00
评审专家1,71,53.27
评审专家28,85,78.16
评审专家21,54,44.45
评审专家40,70,53.71
评审专家45,50,40.82
评审专家39,72,54.66
评审专家8,50,31.35
评审专家28,66,49.42
评审专家4,58,37.11
评审专家11,64,47.00
评审专家24,79,63.98
评审专家33,59,38.62
评审专家28,65,47.90
评审专家17,71,50.33
评审专家45,45,35.12
评审专家29,73,61.95
评审专家44,74,64.95
评审专家42,45,36.23
评审专家35,70,58.24
评审专家26,70,68.01
评审专家26,70,68.01
评审专家44,70,56.61
评审专家42,58,47.29
评审专家14,73,67.35
评审专家19,59,37.53
评审专家42,70,57.50
评审专家27,61,47.05
评审专家9,53,46.45
评审专家22,90,66.07
评审专家36,58,32.91
评审专家5,75,57.68
评审专家33,59,38.62
评审专家3,70,52.65
评审专家24,65,47.37
评审专家29,52,37.27
评审专家24,58,39.07
评审专家45,60,52.21
评审专家29,76,65.48
评审专家20,60,50.47
评审专家32,57,39.24
评审专家40,68,51.19
评审专家30,47,35.52
评审专家16,60,44.17
评审专家36,75,64.84
评审专家36,65,46.06
评审专家34,64,49.88
评审专家17,79,61.34
评审专家40,65,47.41
评审专家38,54,41.89
评审专家23,82,69.45
评审专家40,61,42.36
评审专家41,61,43.00
评审专家32,82,72.93
评审专家17,82,65.47
评审专家34,52,32.57
评审专家33,68,52.65
评审专家29,80,70.18
评审专家38,68,58.53
评审专家1,56,34.61
评审专家16,78,63.66
评审专家41,75,63.87
评审专家13,51,36.02
评审专家15,52,33.73
评审专家6,58,44.22
评审专家43,83,76.33
评审专家2,70,60.61
评审专家37,52,39.56
评审专家5,64,45.51
评审专家23,56,39.83
评审专家24,69,52.12
评审专家16,80,65.82
评审专家34,72,61.41
评审专家18,60,46.64
评审专家41,78,68.34
评审专家28,65,47.90
评审专家7,65,48.01
评审专家27,64,51.82
评审专家32,60,43.28
评审专家1,73,55.76
评审专家6,65,56.17
评审专家41,62,44.49
评审专家44,73,62.86
评审专家26,60,53.02
评审专家28,53,39.75
评审专家5,64,45.51
评审专家31,57,41.39
评审专家24,60,41.44
评审专家45,53,44.24
评审专家13,50,34.83
评审专家16,60,44.17
评审专家35,59,38.47
评审专家30,54,47.13
评审专家26,50,38.03
评审专家43,57,43.01
评审专家7,63,45.06
评审专家37,50,37.03
评审专家11,58,38.71
评审专家14,65,57.81
评审专家22,87,63.84
评审专家34,47,25.36
评审专家40,58,38.58
评审专家43,71,60.95
评审专家34,77,68.62
评审专家22,85,62.35
评审专家40,82,68.84
评审专家22,50,55.00
评审专家22,89,65.32
评审专家33,56,52.00
评审专家33,56,51.94
评审专家44,73,62.86
评审专家44,72,60.78
评审专家44,64,44.10
评审专家22,55,40.09
评审专家44,75,67.03
评审专家44,63,42.02
评审专家25,63,52.66
评审专家40,72,56.23
评审专家20,60,50.47
评审专家36,70,55.45
评审专家20,55,45.99
评审专家45,71,64.75
评审专家44,71,58.70
评审专家31,60,44.29
评审专家41,65,48.96
评审专家45,57,48.79
评审专家18,55,40.98
评审专家23,66,51.22
评审专家34,64,49.88
评审专家17,75,55.84
评审专家9,50,43.61
评审专家13,56,41.97
评审专家30,53,45.47
评审专家22,70,51.22
评审专家32,68,54.06
评审专家18,60,46.64
评审专家6,55,39.09
评审专家42,58,47.29
评审专家31,59,43.32
评审专家12,75,64.12
评审专家24,55,35.51
评审专家10,60,50.69
评审专家24,66,48.56
评审专家29,57,43.15
评审专家20,60,50.47
评审专家12,62,51.00
评审专家18,70,57.96
评审专家1,77,60.74
评审专家21,60,55.93
评审专家39,82,67.67
评审专家29,60,46.68
评审专家4,65,48.74
评审专家32,67,52.71
评审专家31,62,46.22
评审专家7,65,48.01
评审专家13,78,68.18
评审专家19,65,47.50
评审专家10,70,62.62
评审专家9,51,44.56
评审专家24,56,36.70
评审专家15,72,59.10
评审专家36,70,55.45
评审专家22,85,62.35
评审专家21,60,55.93
评审专家10,55,44.73
评审专家2,59,41.34
评审专家45,56,47.65
评审专家8,67,52.17
评审专家40,65,47.41
评审专家34,72,61.41
评审专家29,64,51.38
评审专家20,55,45.99
评审专家5,60,41.09
评审专家34,62,46.99
评审专家29,60,46.68
评审专家15,57,40.07
评审专家43,62,49.41
评审专家30,50,40.50
评审专家11,61,42.86
评审专家3,67,47.68
评审专家28,72,58.49
评审专家23,63,47.80
评审专家26,53,42.53
评审专家13,52,37.21
评审专家25,53,41.30
评审专家2,70,52.00
评审专家13,62,49.12
评审专家16,64,48.50
评审专家24,62,43.82
评审专家8,73,59.52
评审专家28,66,49.42
评审专家6,58,44.22
评审专家37,54,42.10
评审专家41,70,56.42
评审专家35,71,60.04
评审专家35,68,54.65
评审专家42,72,59.20
评审专家6,60,47.63
评审专家10,55,44.73
评审专家42,54,43.89
评审专家9,54,47.40
评审专家14,50,39.94
评审专家40,73,57.49
评审专家19,65,47.50
评审专家27,60,45.46
评审专家13,72,61.03
评审专家33,61,41.74
评审专家3,65,44.37
评审专家32,59,41.93
评审专家32,74,62.15
评审专家26,57,48.52
评审专家39,62,41.66
评审专家27,58,42.28
评审专家35,62,43.87
评审专家44,63,42.02
评审专家33,68,52.65
评审专家1,65,45.81
评审专家11,68,52.53
评审专家25,55,43.58
评审专家16,54,57.67
评审专家44,65,46.19
评审专家5,82,65.42
评审专家33,66,49.53
评审专家20,85,50.00
评审专家1,66,47.05
评审专家15,62,46.41
评审专家3,79,67.54
评审专家21,60,55.93
评审专家4,68,53.73
评审专家20,55,45.99
评审专家22,62,45.28
评审专家22,71,51.96
评审专家42,60,48.99
评审专家6,61,49.34
评审专家45,50,40.82
